es,chord_port,probe_port,z_chord_cm,z_probe_cm,window,L_probe_cm2,L_chord_cm2,ratio,te_used_ev,te_implied_ev,te_semiquant_fraction,te_sigma_sys_ev,pull,n_edge_left_over_axis,n_edge_right_over_axis,te_row_measured_fraction
1,20,21,757.6,789.55,15.000-19.500ms,3.83315e+14,3.7099e+14,1.03322,6.85808,7.3213,0.198039,1.91452,-0.241951,-0.0307081,0.118847,1
1,20,21,757.6,789.55,15.375ms,3.79747e+14,3.75613e+14,1.01101,6.86394,7.01586,0.196078,1.91599,-0.0792909,-0.0190254,0.104423,1
1,20,21,757.6,789.55,15.875ms,3.79678e+14,3.74386e+14,1.01414,6.90555,7.10217,0.196078,1.92639,-0.102066,-0.0452976,0.102896,1
1,20,21,757.6,789.55,16.375ms,3.81101e+14,3.73286e+14,1.02093,6.86734,7.15787,0.196078,1.91683,-0.151571,0.00923569,0.091795,1
1,20,21,757.6,789.55,16.875ms,3.85003e+14,3.72183e+14,1.03444,6.81683,7.29452,0.215686,1.90421,-0.250858,-0.0678365,0.102629,1
1,20,21,757.6,789.55,17.375ms,3.83048e+14,3.70953e+14,1.0326,6.85947,7.31406,0.196078,1.91487,-0.237402,-0.0112963,0.104428,1
1,20,21,757.6,789.55,17.875ms,3.85121e+14,3.69838e+14,1.04132,6.81684,7.39188,0.196078,1.90421,-0.301979,-0.0522926,0.197803,1
1,20,21,757.6,789.55,18.375ms,3.8666e+14,3.68707e+14,1.04869,6.82255,7.50314,0.196078,1.90564,-0.357149,-0.0175585,0.0681369,1
1,20,21,757.6,789.55,18.875ms,3.85551e+14,3.67519e+14,1.04906,6.86138,7.55118,0.196078,1.91534,-0.360147,-0.0336696,0.194332,1
1,20,21,757.6,789.55,19.375ms,3.83923e+14,3.66428e+14,1.04775,6.90993,7.58552,0.196078,1.92748,-0.350507,-0.0388332,0.103229,1
1,29,29,1045.15,1045.15,15.000-19.500ms,4.03236e+14,3.88341e+14,1.03835,5.65567,6.09783,0.196078,1.61392,-0.27397,-0.0292452,0.441899,1
1,29,29,1045.15,1045.15,15.375ms,4.01817e+14,3.95529e+14,1.0159,5.55273,5.7307,0.196078,1.58818,-0.112059,-0.00932551,0.418827,1
1,29,29,1045.15,1045.15,15.875ms,4.00195e+14,3.93714e+14,1.01646,5.64302,5.83036,0.196078,1.61076,-0.116301,-0.0357372,0.45197,1
1,29,29,1045.15,1045.15,16.375ms,4.01517e+14,3.92034e+14,1.02419,5.65334,5.93014,0.196078,1.61334,-0.171567,-0.0717732,0.460322,1
1,29,29,1045.15,1045.15,16.875ms,4.03289e+14,3.90282e+14,1.03333,5.647,6.02968,0.196078,1.61175,-0.237433,-0.0403759,0.426609,1
1,29,29,1045.15,1045.15,17.375ms,4.02628e+14,3.88454e+14,1.03649,5.68072,6.10283,0.196078,1.62018,-0.260534,-0.0244772,0.431131,1
1,29,29,1045.15,1045.15,17.875ms,4.03872e+14,3.86702e+14,1.0444,5.66054,6.17437,0.196078,1.61513,-0.318137,-0.0118636,0.471522,1
1,29,29,1045.15,1045.15,18.375ms,4.04631e+14,3.8476e+14,1.05164,5.6613,6.26115,0.196078,1.61533,-0.371344,-0.0276967,0.412012,1
1,29,29,1045.15,1045.15,18.875ms,4.05669e+14,3.8277e+14,1.05982,5.6955,6.39733,0.196078,1.62387,-0.432199,0.00310615,0.457439,1
1,29,29,1045.15,1045.15,19.375ms,4.05505e+14,3.80825e+14,1.06481,5.70586,6.46936,0.196078,1.62646,-0.469423,-0.0456094,0.446987,1
1,40,41,1396.6,1428.55,15.000-19.500ms,3.98954e+14,3.88512e+14,1.02688,4.37618,4.6146,0.254902,1.29405,-0.184241,0.117899,0.125993,1
1,40,41,1396.6,1428.55,15.375ms,4.00886e+14,3.98827e+14,1.00516,4.18965,4.23301,0.254902,1.24741,-0.0347594,0.109579,0.152433,1
1,40,41,1396.6,1428.55,15.875ms,4.01065e+14,3.96277e+14,1.01208,4.23829,4.34132,0.254902,1.25957,-0.0817983,0.0753721,0.18122,1
1,40,41,1396.6,1428.55,16.375ms,3.9908e+14,3.93822e+14,1.01335,4.30268,4.41833,0.254902,1.27567,-0.0906642,0.0676319,0.0878953,1
1,40,41,1396.6,1428.55,16.875ms,3.9867e+14,3.91235e+14,1.019,4.34715,4.51394,0.254902,1.28679,-0.129617,0.0874481,0.0824095,1
1,40,41,1396.6,1428.55,17.375ms,4.00197e+14,3.88562e+14,1.02994,4.36177,4.62689,0.254902,1.29044,-0.205452,0.127532,0.119722,1
1,40,41,1396.6,1428.55,17.875ms,3.98626e+14,3.86023e+14,1.03265,4.4163,4.70938,0.254902,1.30407,-0.224743,0.160598,0.0599307,1
1,40,41,1396.6,1428.55,18.375ms,3.98963e+14,3.83378e+14,1.04065,4.45402,4.82349,0.254902,1.3135,-0.281289,0.140841,0.196121,1
1,40,41,1396.6,1428.55,18.875ms,3.96221e+14,3.80561e+14,1.04115,4.5332,4.91396,0.254902,1.3333,-0.285578,0.137992,0.149012,1
1,40,41,1396.6,1428.55,19.375ms,3.96882e+14,3.77919e+14,1.05018,4.54626,5.01395,0.254902,1.33656,-0.349925,0.153155,0.105333,1
2,20,21,757.6,789.55,15.000-19.500ms,4.14269e+14,3.59395e+14,1.15269,6.15319,8.17566,0.215686,1.7383,-1.16348,-0.0548713,-0.0258636,1
2,20,21,757.6,789.55,15.375ms,4.1698e+14,3.65889e+14,1.13963,6.15458,7.99336,0.215686,1.73864,-1.0576,-0.0278103,-0.0878816,1
