run_id,experiment_set_id,rotation_deg,port,z_cm,n_exclusions,n_position_cycle_cells,max_excluded_shots_in_cell
01,1,0.0,11,470.05,2380,2040,10
02,1,0.0,21,789.55,2054,2040,10
03,1,180.0,21,789.55,1833,2040,9
04,1,0.0,29,1045.15,1897,2040,10
05,1,180.0,29,1045.15,1684,2040,9
06,1,0.0,41,1428.55,1943,2040,10
07,1,180.0,41,1428.55,2477,2040,10
08,1,0.0,50,1716.1,3245,2040,10
21,2,0.0,11,470.05,1813,2040,9
22,2,0.0,21,789.55,1773,2040,10
23,2,180.0,21,789.55,2029,2040,10
24,2,0.0,29,1045.15,1609,2040,10
25,2,180.0,29,1045.15,1336,2040,10
26,2,0.0,41,1428.55,1506,2040,10
27,2,180.0,41,1428.55,2280,2040,10
28,2,0.0,50,1716.1,3349,2040,10
31,3,0.0,11,470.05,1726,1020,10
32,3,0.0,21,789.55,1059,1020,10
33,3,180.0,21,789.55,1088,1020,10
34,3,0.0,29,1045.15,847,1020,10
35,3,180.0,29,1045.15,1066,1020,10
36,3,0.0,41,1428.55,1558,1020,10
37,3,180.0,41,1428.55,2251,1020,10
38,3,0.0,50,1716.1,3313,1020,10
41,4,0.0,11,470.05,1332,1020,10
42,4,0.0,21,789.55,1210,1020,10
43,4,180.0,21,789.55,895,1020,10
44,4,0.0,29,1045.15,1600,1020,10
45,4,180.0,29,1045.15,1981,1020,10
46,4,0.0,41,1428.55,3506,1020,10
47,4,180.0,41,1428.55,4720,1020,10
48,4,0.0,50,1716.1,4636,1020,10
