run_id,experiment_set,channel,port,measured_mean_v,target_end_v,offset_v,std_v,stderr_v,n_shots,n_samples,sample_start,sample_stop,tail_duration_s
01,1,isat,11,-0.020472305183991842,0.0,-0.020472305183991842,0.0025316390180517017,7.926869246814655e-05,1020,1250,297758,299008,0.0002
01,1,i_sweep,11,-0.02208554097138857,0.0,-0.02208554097138857,0.0017881959633361153,5.599058747307424e-05,1020,1250,297758,299008,0.0002
01,1,v_sweep,11,-0.9152565853837032,-0.75,-0.16525658538370325,0.00048521298117593147,1.5192607758110483e-05,1020,1250,297758,299008,0.0002
02,1,isat,21,-0.016508359735373977,0.0,-0.016508359735373977,0.0025574943977319203,8.007825580869567e-05,1020,1250,297758,299008,0.0002
02,1,i_sweep,21,-0.020108549938789414,0.0,-0.020108549938789414,0.0009344922211769743,2.9260086436556874e-05,1020,1250,297758,299008,0.0002
02,1,v_sweep,21,-0.9135800844772923,-0.75,-0.16358008447729233,0.0004975969845775843,1.558036594566029e-05,1020,1250,297758,299008,0.0002
03,1,isat,21,-0.013308044079103274,0.0,-0.013308044079103274,0.007208999993998155,0.00022572254553371708,1020,1250,297758,299008,0.0002
03,1,i_sweep,21,-0.018797052191914656,0.0,-0.018797052191914656,0.0009664428632110298,3.0260499844431462e-05,1020,1250,297758,299008,0.0002
03,1,v_sweep,21,-0.9139562838498364,-0.75,-0.1639562838498364,0.0004599983410703824,1.4403106751857253e-05,1020,1250,297758,299008,0.0002
04,1,isat,29,-0.0143739702292936,0.0,-0.0143739702292936,0.005189414139486095,0.00016248685953234657,1020,1250,297758,299008,0.0002
04,1,i_sweep,29,-0.019021014254807875,0.0,-0.019021014254807875,0.0009787534209419401,3.064595835882657e-05,1020,1250,297758,299008,0.0002
04,1,v_sweep,29,-0.9161530790079347,-0.75,-0.16615307900793475,0.0004968949470228685,1.555838429715944e-05,1020,1250,297758,299008,0.0002
05,1,isat,29,-0.01525473312972183,0.0,-0.01525473312972183,0.003121546160489254,9.773940157209767e-05,1020,1250,297758,299008,0.0002
05,1,i_sweep,29,-0.019337962080478156,0.0,-0.019337962080478156,0.0009047253066251424,2.8328048188406215e-05,1020,1250,297758,299008,0.0002
05,1,v_sweep,29,-0.915589218315453,-0.75,-0.16558921831545304,0.0005242547497223492,1.6415052949645033e-05,1020,1250,297758,299008,0.0002
06,1,isat,41,-0.01563869175600908,0.0,-0.01563869175600908,0.0016170527472334855,5.0631885514179144e-05,1020,1250,297758,299008,0.0002
06,1,i_sweep,41,-0.018824734759362534,0.0,-0.018824734759362534,0.0008827831720774736,2.7641013305805773e-05,1020,1250,297758,299008,0.0002
06,1,v_sweep,41,-0.9154235538861805,-0.75,-0.16542355388618046,0.0004738338692709765,1.4836313943817533e-05,1020,1250,297758,299008,0.0002
07,1,isat,41,-0.016328607607913156,0.0,-0.016328607607913156,0.0018490495401870682,5.7895986874248425e-05,1020,1250,297758,299008,0.0002
07,1,i_sweep,41,-0.019093766164102913,0.0,-0.019093766164102913,0.0009060727222216063,2.837023740724085e-05,1020,1250,297758,299008,0.0002
07,1,v_sweep,41,-0.9149588191142201,-0.75,-0.16495881911422006,0.00046603718011637454,1.4592190136884939e-05,1020,1250,297758,299008,0.0002
08,1,isat,50,-0.024380543637401067,0.0,-0.024380543637401067,0.0019186908012822782,6.007653934222961e-05,1020,1250,297758,299008,0.0002
08,1,i_sweep,50,-0.02218313206450845,0.0,-0.02218313206450845,0.001837787656573442,5.7543363620137094e-05,1020,1250,297758,299008,0.0002
08,1,v_sweep,50,-0.9149942430033445,-0.75,-0.16499424300334453,0.00039771836971492136,1.2453045206313401e-05,1020,1250,297758,299008,0.0002
21,2,isat,11,-0.021325782566855335,0.0,-0.021325782566855335,0.0024752896216245395,7.750432442661277e-05,1020,1250,297758,299008,0.0002
21,2,i_sweep,11,-0.021104756274077652,0.0,-0.021104756274077652,0.0019066184595113187,5.969853965886677e-05,1020,1250,297758,299008,0.0002
