set_id,port,run_id,x_cm,is_x0_control,in_band,dln_te_window,te_default_med_ev,n_sweeps,at_or_above_criterion
1,11,01,-18,0,1,0.153940287,5.61659998,400,0
1,11,01,-17,0,1,0.130878417,5.56028993,400,0
1,11,01,-16,0,1,0.140821101,5.74001267,400,0
1,11,01,-15,0,1,0.0900689424,6.42712135,400,0
1,11,01,-14,0,1,0.121853897,7.05302405,400,0
1,11,01,-13,0,1,0.145140683,7.4151699,400,0
1,11,01,-12,0,1,0.155400937,7.51740524,400,0
1,11,01,-11,0,1,0.128148689,8.03411103,400,0
1,11,01,11,0,1,0.123672372,7.4652641,400,0
1,11,01,12,0,1,0.0713739333,7.41096534,400,0
1,11,01,13,0,1,0.0976574733,7.15440169,400,0
1,11,01,14,0,1,0.0872058591,6.46555963,400,0
1,11,01,15,0,1,0.0735091591,6.46678305,400,0
1,11,01,16,0,1,0.0709884696,6.55021357,400,0
1,11,01,17,0,1,0.0974285553,6.21453507,400,0
1,11,01,18,0,1,0.475256815,4.6739574,379,0
1,11,01,0,1,0,0.192828546,9.44993354,400,0
1,21,02,-18,0,1,0.240198101,5.12617026,400,0
1,21,02,-17,0,1,0.128401106,5.1265866,400,0
1,21,02,-16,0,1,0.163669026,5.00800856,400,0
1,21,02,-15,0,1,0.140472222,5.30231529,400,0
1,21,02,-14,0,1,0.177882582,5.92401526,400,0
1,21,02,-13,0,1,0.196531116,6.54671674,400,0
1,21,02,-12,0,1,0.158654129,7.18659711,400,0
1,21,02,-11,0,1,0.1728318,7.65477368,400,0
1,21,02,11,0,1,0.101139075,7.04185476,400,0
1,21,02,12,0,1,0.0850154391,6.80492305,400,0
1,21,02,13,0,1,0.123636729,6.62934395,399,0
1,21,02,14,0,1,0.12731567,6.28292162,400,0
1,21,02,15,0,1,0.109927852,6.29272354,400,0
1,21,02,16,0,1,0.157651774,6.25398725,400,0
1,21,02,17,0,1,0.404825596,5.37880651,392,0
1,21,02,18,0,1,0.503012993,3.42159373,388,1
1,21,02,0,1,0,0.234861794,8.99945014,400,0
1,29,04,-18,0,1,0.363890065,3.90014382,397,0
1,29,04,-17,0,1,0.198647193,3.79514658,400,0
1,29,04,-16,0,1,0.206386663,3.90752855,400,0
1,29,04,-15,0,1,0.169336081,4.06045086,400,0
1,29,04,-14,0,1,0.169478829,4.51821416,400,0
1,29,04,-13,0,1,0.15854284,5.35544334,400,0
1,29,04,-12,0,1,0.15667001,5.90525534,400,0
1,29,04,-11,0,1,0.131453357,6.37703998,400,0
1,29,04,11,0,1,0.111598347,5.63584009,400,0
1,29,04,12,0,1,0.0965549699,5.32355556,400,0
1,29,04,13,0,1,0.141777715,5.14133358,400,0
1,29,04,14,0,1,0.145746926,5.02916609,400,0
1,29,04,15,0,1,0.145353691,5.05119699,400,0
1,29,04,16,0,1,0.183555292,5.21587831,400,0
1,29,04,17,0,1,0.364204783,4.64160993,392,0
1,29,04,18,0,1,0.478958938,3.22814116,389,0
1,29,04,0,1,0,0.194335606,7.1612645,400,0
1,41,06,-18,0,1,0.558660282,3.0655978,392,1
1,41,06,-17,0,1,0.271376863,2.72395964,399,0
1,41,06,-16,0,1,0.228172597,2.85472325,400,0
1,41,06,-15,0,1,0.184280835,2.91816914,400,0
1,41,06,-14,0,1,0.176400965,3.10282531,400,0
1,41,06,-13,0,1,0.150416372,3.67323156,400,0
1,41,06,-12,0,1,0.202308377,4.38902114,400,0
1,41,06,-11,0,1,0.164650971,4.91048916,400,0
1,41,06,11,0,1,0.105665611,4.20701116,400,0
1,41,06,12,0,1,0.1500085,3.88875184,400,0
1,41,06,13,0,1,0.139083803,3.54665954,400,0
1,41,06,14,0,1,0.14806269,3.28830575,400,0
1,41,06,15,0,1,0.183504502,3.30356244,400,0
1,41,06,16,0,1,0.257003023,3.6107676,400,0
1,41,06,17,0,1,0.671023894,3.51099986,392,1
1,41,06,18,0,1,0.760064705,2.78291768,385,1
1,41,06,0,1,0,0.164903545,5.052747,400,0
1,50,08,-18,0,1,1.98513337,1.64769934,400,1
1,50,08,-17,0,1,2.24637721,1.5765623,399,1
1,50,08,-16,0,1,2.12653538,1.65050547,400,1
1,50,08,-15,0,1,1.91961941,1.79906096,400,1
1,50,08,-14,0,1,1.04813163,1.95700016,400,1
1,50,08,-13,0,1,0.524027995,2.18595646,400,1
1,50,08,-12,0,1,0.442737406,2.60734601,400,0
1,50,08,-11,0,1,0.368119193,2.90746834,400,0
1,50,08,11,0,1,0.812273689,2.44080283,400,1
1,50,08,12,0,1,1.06477128,2.29342088,400,1
1,50,08,13,0,1,0.733575909,2.13490279,400,1
1,50,08,14,0,1,0.9667874,2.07014229,400,1
1,50,08,15,0,1,0.879519741,1.98843687,399,1
1,50,08,16,0,1,1.75154848,1.91151249,385,1
1,50,08,17,0,1,1.73676255,1.92392044,386,1
1,50,08,18,0,1,1.91584359,1.81994721,373,1
1,50,08,0,1,0,0.160827918,3.0899075,400,0
2,11,21,-18,0,1,0.0916359398,5.97764349,400,0
2,11,21,-17,0,1,0.122852205,6.24267819,400,0
2,11,21,-16,0,1,0.114368209,6.27264645,400,0
2,11,21,-15,0,1,0.140667347,6.4520499,400,0
2,11,21,-14,0,1,0.092225218,6.86674087,400,0
2,11,21,-13,0,1,0.0827925653,7.25430023,400,0
2,11,21,-12,0,1,0.315878386,7.95376076,400,0
2,11,21,-11,0,1,0.162439965,7.8669244,400,0
2,11,21,11,0,1,0.0994477932,6.70897348,400,0
2,11,21,12,0,1,0.137200175,6.08693496,400,0
2,11,21,13,0,1,0.0744353212,6.2275995,400,0
2,11,21,14,0,1,0.0898481074,6.33574913,400,0
2,11,21,15,0,1,0.0606064229,6.1687922,400,0
2,11,21,16,0,1,0.0720380358,6.20252555,400,0
2,11,21,17,0,1,0.198806842,5.88934418,398,0
2,11,21,18,0,1,0.550104328,4.36849944,378,1
2,11,21,0,1,0,0.245711932,9.34388237,400,0
2,21,22,-18,0,1,0.245794427,5.31634344,383,0
2,21,22,-17,0,1,0.213929676,5.39824514,400,0
2,21,22,-16,0,1,0.224937819,5.59001626,400,0
2,21,22,-15,0,1,0.231785294,5.50172255,400,0
2,21,22,-14,0,1,0.181638589,5.98804317,400,0
2,21,22,-13,0,1,0.175335127,6.34762033,400,0
2,21,22,-12,0,1,0.151690196,7.0393423,400,0
2,21,22,-11,0,1,0.191334804,7.16424178,400,0
2,21,22,11,0,1,0.178043209,5.55083657,400,0
2,21,22,12,0,1,0.153659448,5.08843793,400,0
2,21,22,13,0,1,0.173053657,5.46507667,400,0
2,21,22,14,0,1,0.189812188,5.34346943,400,0
2,21,22,15,0,1,0.166355977,5.36518106,400,0
2,21,22,16,0,1,0.287195548,5.56220949,393,0
2,21,22,17,0,1,0.464824911,5.22565169,380,0
2,21,22,18,0,1,0.502897031,3.07731215,393,1
2,21,22,0,1,0,0.186192235,8.1383381,400,0
2,29,24,-18,0,1,0.32105118,3.50076976,371,0
2,29,24,-17,0,1,0.280304893,3.82454544,400,0
2,29,24,-16,0,1,0.21339739,4.04949338,400,0
2,29,24,-15,0,1,0.214378983,4.15187893,400,0
2,29,24,-14,0,1,0.204006105,4.51755645,400,0
2,29,24,-13,0,1,0.181645355,5.01929674,400,0
2,29,24,-12,0,1,0.201219793,5.27082879,400,0
2,29,24,-11,0,1,0.182662292,5.4849787,400,0
2,29,24,11,0,1,0.190450309,3.96495365,400,0
2,29,24,12,0,1,0.215640996,3.53723563,400,0
2,29,24,13,0,1,0.191297256,3.60960638,400,0
2,29,24,14,0,1,0.219230207,3.60720313,400,0
2,29,24,15,0,1,0.360970107,3.60633647,400,0
2,29,24,16,0,1,0.502391654,3.71610368,396,1
2,29,24,17,0,1,0.535561663,3.44245088,389,1
2,29,24,18,0,1,0.680583842,2.5838031,374,1
2,29,24,0,1,0,0.169456007,6.16983364,400,0
2,41,26,-18,0,1,0.752349422,1.51612088,397,1
2,41,26,-17,0,1,0.265658322,1.80765823,400,0
2,41,26,-16,0,1,0.277021398,2.03582568,400,0
2,41,26,-15,0,1,0.315603875,2.20423709,400,0
2,41,26,-14,0,1,0.134069551,2.41886947,400,0
2,41,26,-13,0,1,0.156103827,2.70894668,400,0
2,41,26,-12,0,1,0.190125031,3.01825218,400,0
2,41,26,-11,0,1,0.165932717,3.15052522,400,0
2,41,26,11,0,1,0.285111582,2.39310315,400,0
2,41,26,12,0,1,0.285994567,2.26604201,400,0
2,41,26,13,0,1,0.290266835,2.18439401,400,0
2,41,26,14,0,1,0.544481946,2.04657208,400,1
2,41,26,15,0,1,0.653125029,1.83515753,389,1
2,41,26,16,0,1,0.991048801,1.52680441,388,1
2,41,26,17,0,1,0.536961862,1.53583517,391,1
2,41,26,18,0,1,0.603701754,1.30901185,395,1
2,41,26,0,1,0,0.134835046,3.81041221,400,0
2,50,28,-18,0,1,2.78954731,0.91853837,396,1
2,50,28,-17,0,1,2.70991749,1.10231202,395,1
2,50,28,-16,0,1,2.54477003,1.14652557,400,1
2,50,28,-15,0,1,2.43724174,1.3177597,400,1
2,50,28,-14,0,1,2.78213974,1.33427761,399,1
2,50,28,-13,0,1,2.32244178,1.41503424,400,1
2,50,28,-12,0,1,2.11902612,1.59145651,400,1
2,50,28,-11,0,1,1.88327668,1.70330138,400,1
2,50,28,11,0,1,2.45723774,1.37574162,399,1
2,50,28,12,0,1,2.66669237,1.20193319,398,1
2,50,28,13,0,1,2.86697303,1.35554827,399,1
2,50,28,14,0,1,2.55449539,1.19852501,395,1
2,50,28,15,0,1,2.85127705,0.672957509,387,1
2,50,28,16,0,1,2.77763111,0.51068383,374,1
2,50,28,17,0,1,2.79127988,0.448609396,370,1
2,50,28,18,0,1,2.79228069,0.418485866,366,1
2,50,28,0,1,0,0.602551724,2.16319637,400,1
